
Epoch: 1/15, 1500/1500, ETA: 02m 25s
Epoch 1/15, Loss: 0.3073, Accuracy: 0.9026
Validation Loss: 0.0356, Validation Accuracy: 0.9665
Validation Loss: 0.0365, Validation Accuracy: 0.9660
Validation Loss: 0.0366, Validation Accuracy: 0.9660
Validation Loss: 0.0367, Validation Accuracy: 0.9661
Validation Loss: 0.0369, Validation Accuracy: 0.9661
Validation Loss: 0.0373, Validation Accuracy: 0.9661
Validation Loss: 0.0374, Validation Accuracy: 0.9664
Validation Loss: 0.0384, Validation Accuracy: 0.9661
Validation Loss: 0.0385, Validation Accuracy: 0.9664
Validation Loss: 0.0389, Validation Accuracy: 0.9664
Validation Loss: 0.0389, Validation Accuracy: 0.9667
Validation Loss: 0.0390, Validation Accuracy: 0.9670
Validation Loss: 0.0390, Validation Accuracy: 0.9673
Validation Loss: 0.0391, Validation Accuracy: 0.9675
Validation Loss: 0.0391, Validation Accuracy: 0.9678
Validation Loss: 0.0391, Validation Accuracy: 0.9680
Validation Loss: 0.0395, Validation Accuracy: 0.9680
Validation Loss: 0.0396, Validation Accuracy: 0.9683
Validation Loss: 0.0397, Validation Accuracy: 0.9685
Validation Loss: 0.0400, Validation Accuracy: 0.9683
Validation Loss: 0.0404, Validation Accuracy: 0.9680
Validation Loss: 0.0407, Validation Accuracy: 0.9678
Validation Loss: 0.0408, Validation Accuracy: 0.9681
Validation Loss: 0.0419, Validation Accuracy: 0.9681
Validation Loss: 0.0421, Validation Accuracy: 0.9678
Validation Loss: 0.0423, Validation Accuracy: 0.9678
Validation Loss: 0.0426, Validation Accuracy: 0.9679
Validation Loss: 0.0427, Validation Accuracy: 0.9679
Validation Loss: 0.0432, Validation Accuracy: 0.9679
Validation Loss: 0.0432, Validation Accuracy: 0.9681
Validation Loss: 0.0435, Validation Accuracy: 0.9681
Validation Loss: 0.0435, Validation Accuracy: 0.9683
Validation Loss: 0.0437, Validation Accuracy: 0.9685
Validation Loss: 0.0437, Validation Accuracy: 0.9688
Validation Loss: 0.0441, Validation Accuracy: 0.9688
Validation Loss: 0.0448, Validation Accuracy: 0.9685
Validation Loss: 0.0448, Validation Accuracy: 0.9688
Validation Loss: 0.0451, Validation Accuracy: 0.9688
Validation Loss: 0.0454, Validation Accuracy: 0.9688
Validation Loss: 0.0454, Validation Accuracy: 0.9690
Validation Loss: 0.0457, Validation Accuracy: 0.9690
Validation Loss: 0.0458, Validation Accuracy: 0.9692
Validation Loss: 0.0458, Validation Accuracy: 0.9694
Validation Loss: 0.0463, Validation Accuracy: 0.9690
Validation Loss: 0.0464, Validation Accuracy: 0.9689
Validation Loss: 0.0465, Validation Accuracy: 0.9691
Validation Loss: 0.0472, Validation Accuracy: 0.9689
Validation Loss: 0.0472, Validation Accuracy: 0.9691
Validation Loss: 0.0478, Validation Accuracy: 0.9691
Validation Loss: 0.0480, Validation Accuracy: 0.9691
Validation Loss: 0.0480, Validation Accuracy: 0.9693
Validation Loss: 0.0483, Validation Accuracy: 0.9691
Validation Loss: 0.0485, Validation Accuracy: 0.9691
Validation Loss: 0.0486, Validation Accuracy: 0.9693
Validation Loss: 0.0494, Validation Accuracy: 0.9693
Validation Loss: 0.0495, Validation Accuracy: 0.9695
Validation Loss: 0.0496, Validation Accuracy: 0.9697
Validation Loss: 0.0496, Validation Accuracy: 0.9699
